timestamp_s,roll,pitch,yaw
0.000000,0.000000,1.049840,96.198890
0.100000,0.000000,1.049840,96.198890
0.200000,0.000000,1.049840,96.198890
0.300000,0.000000,1.049840,96.198890
0.400000,0.000000,1.049840,96.198890
0.499999,0.000000,1.049840,96.198890
0.599999,0.000000,1.049840,96.198890
0.799999,0.000000,1.049840,96.198890
0.899999,0.000000,1.049840,96.198890
0.999999,0.000000,1.049840,96.198890
1.099999,0.000000,1.049840,96.198890
1.199999,0.000000,1.049840,96.198890
1.299999,0.000000,1.049840,96.198890
1.399999,0.000000,1.049840,96.198890
1.499999,0.000000,1.049840,96.198890
1.599999,0.000000,1.049840,96.198890
1.699999,0.000000,1.049840,96.198890
1.799999,0.000000,1.049840,96.198890
1.899999,0.000000,1.049840,96.198890
1.999999,0.000000,1.049840,96.198890
2.099999,0.000000,1.049840,96.198890
2.199999,0.000000,1.049840,96.198890
2.299999,0.000000,1.049840,96.198890
2.399998,0.000000,1.049840,96.198890
2.499998,0.000000,1.049840,96.198890
2.599998,0.000000,1.049840,96.198890
2.699998,0.000000,1.049840,96.198890
2.799998,0.000000,1.049840,96.198890
2.899998,0.000000,1.049840,96.198890
2.999998,0.000000,1.049840,96.198890
3.099998,0.000000,1.049840,96.198890
3.199998,0.000000,1.049840,96.198890
3.299998,0.000000,1.049840,96.198890
3.399998,0.000000,1.049840,96.198890
3.499998,0.000000,1.049840,96.198890
3.599998,0.000000,1.049840,96.198890
3.699998,0.000000,1.049840,96.198890
3.799998,0.000000,1.049840,96.198890
3.899998,0.000000,1.049840,96.198890
3.999998,0.000000,1.049840,96.198890
4.099998,0.000000,1.049840,96.198890
4.199998,0.000000,1.049840,96.198890
4.299997,0.000000,1.049840,96.198890
4.399997,0.000000,1.049840,96.198890
4.499997,0.000000,1.049840,96.198890
4.599997,0.000000,1.049840,96.198890
4.699997,0.000000,1.049840,96.198890
4.799997,0.000000,1.049840,96.198890
4.899997,0.000000,1.049840,96.198890
4.999997,0.000000,1.049840,96.198890
5.099997,0.000000,1.049840,96.198890
5.199997,0.000000,1.049840,96.198890
5.299997,0.000000,1.049840,96.198890
5.399997,0.000000,1.049840,96.198890
5.499997,0.000000,1.049840,96.198890
5.599997,0.000000,1.049840,96.198890
5.799997,0.000000,1.049840,96.198890
5.899997,0.000000,1.049840,96.198890
5.999997,0.000000,1.049840,96.198890
6.099996,0.000000,1.049840,96.198890
6.199996,0.000000,1.049840,96.198890
6.299996,0.000000,1.049840,96.198890
6.399996,0.000000,1.049840,96.198890
6.499996,0.000000,1.049840,96.198890
6.599996,0.000000,1.049840,96.198890
6.699996,0.000000,1.049840,96.198890
6.799996,0.000000,1.049840,96.198890
6.899996,0.000000,1.049840,96.198890
6.999996,0.000000,1.049840,96.198890
7.099996,0.000000,1.049840,96.198890
7.199996,0.000000,1.049840,96.198890
7.299996,0.000000,1.049840,96.198890
7.399996,0.000000,1.049840,96.198890
7.499996,0.000000,1.049840,96.198890
7.599996,0.000000,1.049840,96.198890
7.699996,0.000000,1.049840,96.198890
7.799996,0.000000,1.049840,96.198890
7.899996,0.000000,1.049840,96.198890
7.999995,0.000000,1.049840,96.198890
8.099995,0.000000,1.049840,96.198890
8.199995,0.000000,1.049840,96.198890
8.299995,0.000000,1.049840,96.198890
8.399995,0.000000,1.049840,96.198890
8.499995,0.000000,1.049840,96.198890
8.599995,0.000000,1.049840,96.198890
8.699995,0.000000,1.049840,96.198890
8.799995,0.000000,1.049840,96.198890
8.899995,0.000000,1.049840,96.198890
8.999995,0.000000,1.049840,96.198890
9.099995,0.000000,1.049840,96.198890
9.199995,0.000000,1.049840,96.198890
9.299995,0.000000,1.049840,96.198890
9.399995,0.000000,1.049840,96.198890
9.499995,0.000000,1.049840,96.198890
9.599995,0.000000,1.049840,96.198890
9.699995,0.000000,1.049840,96.198890
9.799995,0.000000,1.049840,96.198890
9.899994,0.000000,1.049840,96.198890
9.999994,0.000000,1.049840,96.198890
10.099994,0.000000,1.049840,96.198890
10.199994,0.000000,1.049840,96.198890
